,Unnamed: 0,sentences,tagged,Parse_String
0,0," Ahli rekayasa optik mendesain komponen dari instrumen optik seperti lensa , mikroskop , teleskop , dan peralatan lainnya yang mendukung sifat cahaya .","[('Ahli', 'NNP'), ('rekayasa', 'NN'), ('optik', 'NN'), ('mendesain', 'VB'), ('komponen', 'NN'), ('dari', 'IN'), ('instrumen', 'NN'), ('optik', 'JJ'), ('seperti', 'IN'), ('lensa', 'NN'), (',', 'Z'), ('mikroskop', 'NN'), (',', 'Z'), ('teleskop', 'NN'), (',', 'Z'), ('dan', 'CC'), ('peralatan', 'NN'), ('lainnya', 'NN'), ('yang', 'SC'), ('mendukung', 'VB'), ('sifat', 'NN'), ('cahaya', 'NN'), ('.', 'Z')]","(ROOT (SQ (NP (NNP Ahli) (NN rekayasa) (NN optik)) (VP (VB mendesain) (NP (NN komponen)) (SBAR (IN dari) (S (NP (NP (NN instrumen) (JJ optik)) (PP (IN seperti) (NP (NML (NN lensa) (Z ,) (NN mikroskop) (Z ,) (NN teleskop) (Z ,) (CC dan) (NN peralatan)) (NN lainnya)))) (VP (SC yang) (VP (VB mendukung) (NP (NN sifat) (NN cahaya))))))) (Z .)))"
1,1," Wisma Kalla terletak di kota makassar , tak jauh dari pantai Losari Makassar , dengat dengan lapangan Karebosi Makassar , dekat dengan Mal Ratu Indah , dan dekat juga dengan kawasan Trans Studio Makassar .","[('Wisma', 'NNP'), ('Kalla', 'NNP'), ('terletak', 'VB'), ('di', 'IN'), ('kota', 'NN'), ('makassar', 'JJ'), (',', 'Z'), ('tak', 'NEG'), ('jauh', 'JJ'), ('dari', 'IN'), ('pantai', 'NN'), ('Losari', 'NNP'), ('Makassar', 'NNP'), (',', 'Z'), ('dengat', 'VB'), ('dengan', 'IN'), ('lapangan', 'NN'), ('Karebosi', 'NNP'), ('Makassar', 'NNP'), (',', 'Z'), ('dekat', 'JJ'), ('dengan', 'IN'), ('Mal', 'NNP'), ('Ratu', 'NNP'), ('Indah', 'NNP'), (',', 'Z'), ('dan', 'CC'), ('dekat', 'JJ'), ('juga', 'RB'), ('dengan', 'IN'), ('kawasan', 'NN'), ('Trans', 'NNP'), ('Studio', 'NNP'), ('Makassar', 'NNP'), ('.', 'Z')]","(ROOT (S (NP (NNP Wisma) (NNP Kalla)) (VP (VB terletak) (SBAR (IN di) (S (NP (NN kota) (JJ makassar) (Z ,)) (VP (NEG tak) (ADJP (JJ jauh)) (SBAR (IN dari) (S (NP (NN pantai) (NNP Losari) (NNP Makassar)) (VP (Z ,) (VP (VB dengat) (SBAR (IN dengan) (S (NP (NN lapangan) (NNP Karebosi) (NNP Makassar)) (VP (Z ,) (ADJP (JJ dekat) (PP (IN dengan) (NP (NML (NNP Mal) (NNP Ratu)) (NML (NML (NNP Indah) (Z ,)) (CC dan) (NML (ADJP (JJ dekat) (PP (ADVP (RB juga)) (IN dengan) (NP (NN kawasan)))) (NNP Trans) (NNP Studio))) (NNP Makassar))))))))))))))) (Z .)))"
2,2," Hal tersebut dapat dilihat dalam beberapa contoh karya mereka , seperti âRietvield Schroeder House serta Red Blue Chairâ .","[('Hal', 'NN'), ('tersebut', 'PR'), ('dapat', 'MD'), ('dilihat', 'VB'), ('dalam', 'IN'), ('beberapa', 'CD'), ('contoh', 'NN'), ('karya', 'NN'), ('mereka', 'PRP'), (',', 'Z'), ('seperti', 'IN'), ('â\x80\x9cRietvield', 'NNP'), ('Schroeder', 'NNP'), ('House', 'NNP'), ('serta', 'CC'), ('Red', 'NNP'), ('Blue', 'NNP'), ('Chairâ\x80\x9d', 'NNP'), ('.', 'Z')]","(ROOT (S (NP (NN Hal) (PR tersebut)) (VP (MD dapat) (VP (VB dilihat) (S (S (PP (IN dalam) (NP (CD beberapa) (NN contoh) (NN karya))) (NP (PRP mereka))) (Z ,) (S (PP (IN seperti) (NP (NNP âRietvield) (NNP Schroeder))) (NP (NML (NNP House) (CC serta) (NNP Red)) (NNP Blue) (NNP Chairâ)))))) (Z .)))"
3,3," Gaya de Stijl seperti yang telah disebutkan di awal , telah memengaruhi gaya dari Bauhaus serta gaya arsitektur Internasional , dan juga gaya desain interior dan fashion desain dunia .","[('Gaya', 'NNP'), ('de', 'NNP'), ('Stijl', 'NNP'), ('seperti', 'IN'), ('yang', 'SC'), ('telah', 'MD'), ('disebutkan', 'VB'), ('di', 'IN'), ('awal', 'NN'), (',', 'Z'), ('telah', 'MD'), ('memengaruhi', 'VB'), ('gaya', 'NN'), ('dari', 'IN'), ('Bauhaus', 'NNP'), ('serta', 'CC'), ('gaya', 'NN'), ('arsitektur', 'X'), ('Internasional', 'NNP'), (',', 'Z'), ('dan', 'CC'), ('juga', 'RB'), ('gaya', 'NN'), ('desain', 'NN'), ('interior', 'NN'), ('dan', 'CC'), ('fashion', 'NN'), ('desain', 'NN'), ('dunia', 'NN'), ('.', 'Z')]","(ROOT (S (NP (NP (NNP Gaya) (NNP de) (NNP Stijl)) (PP (IN seperti) (NP (SC yang)))) (VP (MD telah) (VP (VB disebutkan) (SBAR (IN di) (S (NP (NN awal) (Z ,)) (VP (MD telah) (VP (VB memengaruhi) (NP (NN gaya)) (PP (IN dari) (NP (NP (NML (NNP Bauhaus) (CC serta) (NN gaya)) (X arsitektur) (NNP Internasional) (Z ,)) (NML (CC dan) (NML (NML (ADVP (RB juga)) (NN gaya)) (ADJP (NN desain) (NN interior))) (CC dan) (NML (NN fashion) (NN desain))) (NN dunia))))))))) (Z .)))"
4,4, Sedangkan Permintaan adalah keinginan akan sesuatu yang didukung dengan kemampuan serta kesediaan membelinya .,"[('Sedangkan', 'CC'), ('Permintaan', 'NN'), ('adalah', 'VB'), ('keinginan', 'NN'), ('akan', 'MD'), ('sesuatu', 'PRP'), ('yang', 'SC'), ('didukung', 'VB'), ('dengan', 'IN'), ('kemampuan', 'NN'), ('serta', 'CC'), ('kesediaan', 'NN'), ('membelinya', 'VB'), ('.', 'Z')]",(ROOT (S (NP (CC Sedangkan) (NN Permintaan) (S (VP (VB adalah) (NP (NN keinginan))))) (VP (MD akan) (PRN (S (NP (PRP sesuatu)) (VP (SC yang) (VP (VB didukung) (PP (IN dengan) (NP (NML (NN kemampuan) (CC serta)) (NN kesediaan))))))) (VP (VB membelinya))) (Z .)))
5,5, Let It Shine adalah film televisi 2012 .,"[('Let', 'NN'), ('It', 'NNP'), ('Shine', 'NNP'), ('adalah', 'VB'), ('film', 'NN'), ('televisi', 'NN'), ('2012', 'CD'), ('.', 'Z')]",(ROOT (SQ (NP (NN Let) (NNP It) (NNP Shine)) (VP (VB adalah) (NP (NN film) (NN televisi) (CD 2012))) (Z .)))
6,6, Delapn tim bersaing pada putaran pertama musim; tujuh tim dari Sydney dan satu tim dari Newcastle .,"[('Delapn', 'NNP'), ('tim', 'NN'), ('bersaing', 'VB'), ('pada', 'IN'), ('putaran', 'NN'), ('pertama', 'OD'), ('musim;', 'VB'), ('tujuh', 'CD'), ('tim', 'NN'), ('dari', 'IN'), ('Sydney', 'NNP'), ('dan', 'CC'), ('satu', 'CD'), ('tim', 'NN'), ('dari', 'IN'), ('Newcastle', 'NNP'), ('.', 'Z')]",(ROOT (SQ (NP (NNP Delapn) (NN tim)) (VP (VB bersaing) (SBAR (IN pada) (S (NP (NN putaran)) (VP (OD pertama) (VP (VB musim;) (NP (NML (NML (NML (CD tujuh) (NN tim)) (PP (IN dari) (NP (NNP Sydney)))) (CC dan) (NML (CD satu))) (NN tim)) (PP (IN dari) (NP (NNP Newcastle)))))))) (Z .)))
7,7," Struktur Organisasi program Studi susun untuk mengakomodasi pendelegasian wewenang , pembagian tugas , dan fleksibilitas aktifitas untuk pengembangan program studi .","[('Struktur', 'NN'), ('Organisasi', 'NN'), ('program', 'NN'), ('Studi', 'NN'), ('susun', 'NN'), ('untuk', 'SC'), ('mengakomodasi', 'VB'), ('pendelegasian', 'NN'), ('wewenang', 'NN'), (',', 'Z'), ('pembagian', 'NN'), ('tugas', 'NN'), (',', 'Z'), ('dan', 'CC'), ('fleksibilitas', 'NN'), ('aktifitas', 'NN'), ('untuk', 'SC'), ('pengembangan', 'NN'), ('program', 'NN'), ('studi', 'NN'), ('.', 'Z')]","(ROOT (S (NP (NML (NML (NN Struktur) (NN Organisasi)) (NN program) (NN Studi)) (NN susun)) (VP (SC untuk) (VP (VB mengakomodasi) (NP (NP (NN pendelegasian) (NN wewenang) (Z ,) (NN pembagian) (NN tugas)) (PP (Z ,) (NP (NML (CC dan) (NML (NN fleksibilitas) (NN aktifitas)) (SC untuk) (NML (NN pengembangan) (NN program))) (NN studi)))))) (Z .)))"
8,8," Masa pendidikan hampir sama dengan SMK pada umumnya yaitu jenjang pendidikan kelas 10 , 11 dan 12 dengan sistem pendidikan serupa , dengan praktik kerja industri untuk memperoleh pengalaman kerja dilaksanakan pada tahun keempat .","[('Masa', 'NN'), ('pendidikan', 'NN'), ('hampir', 'RB'), ('sama', 'JJ'), ('dengan', 'IN'), ('SMK', 'NNP'), ('pada', 'IN'), ('umumnya', 'NN'), ('yaitu', 'SC'), ('jenjang', 'NN'), ('pendidikan', 'NN'), ('kelas', 'NN'), ('10', 'CD'), (',', 'Z'), ('11', 'CD'), ('dan', 'CC'), ('12', 'CD'), ('dengan', 'IN'), ('sistem', 'NN'), ('pendidikan', 'NN'), ('serupa', 'NN'), (',', 'Z'), ('dengan', 'IN'), ('praktik', 'NN'), ('kerja', 'NN'), ('industri', 'NN'), ('untuk', 'SC'), ('memperoleh', 'VB'), ('pengalaman', 'NN'), ('kerja', 'NN'), ('dilaksanakan', 'VB'), ('pada', 'IN'), ('tahun', 'NN'), ('keempat', 'CD'), ('.', 'Z')]","(ROOT (S (NP (NP (NN Masa) (NN pendidikan)) (NP (RB hampir) (JJ sama))) (PP (IN dengan) (NP (NNP SMK))) (PP (IN pada) (NP (NP (NN umumnya)) (SC yaitu) (NP (NN jenjang) (NN pendidikan) (NN kelas) (CD 10)) (NML (Z ,) (CD 11) (CC dan) (CD 12)))) (PP (IN dengan) (NP (NML (NN sistem) (NN pendidikan)) (NN serupa) (Z ,))) (PP (IN dengan) (NP (NN praktik))) (NP (NN kerja) (NN industri)) (VP (SC untuk) (VP (VB memperoleh) (S (NP (NN pengalaman) (NN kerja)) (VP (VB dilaksanakan) (PP (IN pada) (NP (NN tahun) (CD keempat))))))) (Z .)))"
9,9, Sutradara film ini Lasse HallstrÃ¶m dari novel Nicholas Sparks dengan judul yang sama .,"[('Sutradara', 'NNP'), ('film', 'NN'), ('ini', 'PR'), ('Lasse', 'NN'), ('HallstrÃ¶m', 'NN'), ('dari', 'IN'), ('novel', 'NN'), ('Nicholas', 'NNP'), ('Sparks', 'NNP'), ('dengan', 'IN'), ('judul', 'NN'), ('yang', 'SC'), ('sama', 'JJ'), ('.', 'Z')]",(ROOT (FRAG (NP (NNP Sutradara) (NN film)) (PR ini) (NP (NP (NN Lasse) (NN HallstrÃ¶m)) (PP (IN dari) (NP (NN novel) (NNP Nicholas) (NNP Sparks)))) (PP (IN dengan) (NP (NN judul))) (PP (SC yang) (NP (JJ sama) (Z .)))))
10,10, Bandara ini juga menjadi home - base bagi Skuadron Udara 12 TNI AU .,"[('Bandara', 'NNP'), ('ini', 'PR'), ('juga', 'RB'), ('menjadi', 'VB'), ('home', 'NN'), ('-', 'Z'), ('base', 'FW'), ('bagi', 'IN'), ('Skuadron', 'NNP'), ('Udara', 'NNP'), ('12', 'CD'), ('TNI', 'NNP'), ('AU', 'NNP'), ('.', 'Z')]",(ROOT (S (NP (NNP Bandara)) (VP (PR ini) (ADVP (RB juga)) (VP (VB menjadi) (NP (NN home) (Z -) (FW base)) (PP (IN bagi) (NP (NML (NNP Skuadron) (NNP Udara) (CD 12)) (NNP TNI) (NNP AU))))) (Z .)))
11,11, Bandar udara Sultan Syarif Kasim II ( SSK. II ) Pekanbaru adalah bandara peninggalan Sejarah dari zaman kemerdekaan melawan penjajah Belanda dan Jepang .,"[('Bandar', 'NNP'), ('udara', 'NN'), ('Sultan', 'NNP'), ('Syarif', 'NNP'), ('Kasim', 'NNP'), ('II', 'NNP'), ('(', 'Z'), ('SSK.', 'NNP'), ('II', 'NNP'), (')', 'Z'), ('Pekanbaru', 'NNP'), ('adalah', 'VB'), ('bandara', 'NN'), ('peninggalan', 'NN'), ('Sejarah', 'NN'), ('dari', 'IN'), ('zaman', 'NN'), ('kemerdekaan', 'NN'), ('melawan', 'VB'), ('penjajah', 'NN'), ('Belanda', 'NNP'), ('dan', 'CC'), ('Jepang', 'NNP'), ('.', 'Z')]",(ROOT (S (NP (NML (NNP Bandar) (NN udara)) (NNP Sultan) (NNP Syarif) (NNP Kasim) (NNP II)) (VP (Z -LRB-) (S (NP (NNP SSK.) (NNP II) (Z -RRB-) (NNP Pekanbaru)) (VP (VB adalah) (S (NP (NP (NN bandara) (NN peninggalan) (NN Sejarah)) (PP (IN dari) (NP (NN zaman) (NN kemerdekaan)))) (VP (VB melawan) (NP (NN penjajah) (NML (NNP Belanda) (CC dan) (NNP Jepang)))))))) (Z .)))
12,12, Bit - bit ganjil dapat ditingkatkan cukup banyak dengan mempertimbangkan setiap blok yang akan dikirim sebagai matriks persegi panjang dengan lebar n bit dan tinggi k bit .,"[('Bit', 'NNP'), ('-', 'Z'), ('bit', 'NN'), ('ganjil', 'NN'), ('dapat', 'MD'), ('ditingkatkan', 'VB'), ('cukup', 'RB'), ('banyak', 'CD'), ('dengan', 'SC'), ('mempertimbangkan', 'VB'), ('setiap', 'CD'), ('blok', 'NN'), ('yang', 'SC'), ('akan', 'MD'), ('dikirim', 'VB'), ('sebagai', 'IN'), ('matriks', 'NN'), ('persegi', 'NN'), ('panjang', 'NN'), ('dengan', 'IN'), ('lebar', 'JJ'), ('n', 'NN'), ('bit', 'NN'), ('dan', 'CC'), ('tinggi', 'JJ'), ('k', 'NN'), ('bit', 'NN'), ('.', 'Z')]",(ROOT (S (NP (NP (NNP Bit) (Z -)) (NN bit) (NN ganjil)) (VP (MD dapat) (VP (VB ditingkatkan) (NP (QP (RB cukup) (CD banyak))) (S (VP (SC dengan) (VP (VB mempertimbangkan) (NP (NP (CD setiap) (NN blok)) (SBAR (WHNP (SC yang)) (S (VP (MD akan) (VP (VB dikirim) (PP (IN sebagai) (NP (NP (NN matriks) (NN persegi) (NN panjang)) (PP (IN dengan) (NP (JJ lebar) (NML (NML (NN n) (NN bit)) (CC dan) (NML (JJ tinggi) (NN k))) (NN bit))))))))))))))) (Z .)))
